team,round,Q,answer,correct
Days of Auld Lang-xiety,6,1,Maya Rudolph,Y
Diminishing Returns,6,1,Maya Rudolph,Y
Losing 21 in 2021,6,1,Mia Rudolph,Y
Mile High Owls,6,1,Maya Rudolph,Y
Netflix & Quill,6,1,Maya Rudolph,Y
Quaranteam 2020,6,1,Maya Rudolph,Y
Weens <();:::::::::::::::;~,6,1,,
Zack and Hyejin,6,1,Maya Rudolph ,Y
"5,000 Candles in the Wind",6,2,Leslie Knope,
Bébé Yoda,6,2,Fisher,Y
Blue Taran-dactyls,6,2,Bobby Fischer ,Y
Days of Auld Lang-xiety,6,2,Bobby Fischer,Y
Diminishing Returns,6,2,Bobby Fischer,Y
Losing 21 in 2021,6,2,Bobby Fischer,Y
Mile High Owls,6,2,Bobby Fischer,Y
Netflix & Quill,6,2,Bobby fischer,Y
Quaranteam 2020,6,2,Bobby Fisher,Y
Weens <();:::::::::::::::;~,6,2,,
Zack and Hyejin,6,2,Dong soo lee,
"5,000 Candles in the Wind",6,3,Johnny Karate,
Bébé Yoda,6,3,Black pink,
Blue Taran-dactyls,6,3,BTS,Y
Days of Auld Lang-xiety,6,3,BTS,Y
Diminishing Returns,6,3,BTS,Y
Losing 21 in 2021,6,3,bts,Y
Mile High Owls,6,3,BTS,Y
Netflix & Quill,6,3,BTS,Y
Quaranteam 2020,6,3,K-Grams,
Weens <();:::::::::::::::;~,6,3,,
Zack and Hyejin,6,3,Bts,Y
"5,000 Candles in the Wind",6,4,Dr. Richard Nygaard,
Bébé Yoda,6,4,El greco,
Blue Taran-dactyls,6,4,Greco,
Days of Auld Lang-xiety,6,4,Leonardo DaVinci,Y
Diminishing Returns,6,4,Da Vinci,Y
Losing 21 in 2021,6,4,leonardo da vinci,Y
Mile High Owls,6,4,Rafael,
Netflix & Quill,6,4,Da Vinci,Y
Quaranteam 2020,6,4,Leonardo Da Vinci,Y
Weens <();:::::::::::::::;~,6,4,,
Zack and Hyejin,6,4,Khloe kardashian,
"5,000 Candles in the Wind",6,4,JFK and Nixon,
Bébé Yoda,6,5,Kennedy and fdr since both died in office,
Blue Taran-dactyls,6,5,JFK and FDR,Y
Days of Auld Lang-xiety,6,5,Herbert Hoover and Richard Nixon,
